word1,word2,POS,SimLex999,conc(w1),conc(w2),concQ,Assoc(USF),SimAssoc333,SD(SimLex),sim2W100S,sim10W100S,sim2W1000S,sim10W1000S
old,new,A,1.58,2.72,2.81,2,7.25,1,0.41,0.40073797,0.31135973,0.35405207,0.2795853
smart,intelligent,A,9.2,1.75,2.46,1,7.11,1,0.67,0.47352058,0.36907768,0.4531135,0.25436196
hard,difficult,A,8.77,3.76,2.21,2,5.94,1,1.19,0.7263246,0.6741283,0.685696,0.6499648
happy,cheerful,A,9.55,2.56,2.34,1,5.85,1,2.18,0.40784225,0.43392888,0.38383287,0.5667433
hard,easy,A,0.95,3.76,2.07,2,5.82,1,0.93,0.7435184,0.71989405,0.7352998,0.6762714
fast,rapid,A,8.75,3.32,3.07,2,5.66,1,1.68,0.5032435,0.41997513,0.50840265,0.3812637
happy,glad,A,9.17,2.56,2.36,1,5.49,1,1.59,0.6105612,0.5533938,0.6466136,0.5760983
short,long,A,1.23,3.61,3.18,2,5.36,1,1.58,0.6728457,0.6195175,0.62630016,0.59453124
stupid,dumb,A,9.58,1.75,2.36,1,5.26,1,1.48,0.6739157,0.54043233,0.6098358,0.37423113
weird,strange,A,8.93,1.59,1.86,1,4.26,1,1.3,0.64488107,0.4966617,0.6150274,0.56970674
wide,narrow,A,1.03,3.06,3.04,2,4.06,1,0.58,0.63765025,0.52642536,0.6705377,0.5024508
bad,awful,A,8.42,1.68,1.92,1,3.41,1,1.74,0.32496488,0.3431054,0.33994144,0.27150312
easy,difficult,A,0.58,2.07,2.21,1,2.83,1,0.36,0.85749793,0.8358382,0.83882016,0.80370826
bad,terrible,A,7.78,1.68,2.04,1,2.31,1,1.43,0.7488828,0.59081966,0.7055468,0.6121424
hard,simple,A,1.38,3.76,1.62,2,2.16,1,1.03,0.560707,0.49391174,0.5025875,0.48701555
smart,dumb,A,0.55,1.75,2.36,1,2.1,1,0.47,0.5626437,0.3983382,0.55074847,0.31707934
insane,crazy,A,9.57,1.77,2.37,1,2.09,1,0.92,0.58164364,0.43584806,0.5125868,0.4630127
happy,mad,A,0.95,2.56,2.76,2,2.07,1,1.4,0.48881105,0.38504595,0.4054458,0.2827201
large,huge,A,9.47,3.37,3.54,2,2,1,1.27,0.784882,0.6988557,0.7470141,0.69448936
hard,tough,A,8.05,3.76,2.5,2,1.99,1,1.18,0.6837033,0.62328327,0.6427993,0.6206305
new,fresh,A,6.83,2.81,1.97,1,1.98,1,1.2,0.26546702,0.09676188,0.18450448,0.09944295
sharp,dull,A,0.6,3.86,2.37,2,1.48,1,1.39,0.5578678,0.48073858,0.5547709,0.42513004
quick,rapid,A,9.7,2.89,3.07,2,1.38,1,1.14,0.6323117,0.45662913,0.6229061,0.43658775
dumb,foolish,A,6.67,2.36,1.84,1,1.34,1,1.36,0.53571546,0.64763916,0.39071682,0.37413207
wonderful,terrific,A,8.63,1.82,2.07,1,1.17,1,1.63,0.46597877,0.2447888,0.40770063,0.14590153
strange,odd,A,9.02,1.86,1.7,1,1.16,1,1.04,0.42505148,0.2594802,0.44045347,0.24913527
happy,angry,A,1.28,2.56,2.53,1,1.15,1,1.41,0.54056185,0.49948442,0.4588322,0.4384882
narrow,broad,A,1.18,3.04,2.45,2,1,1,1.18,0.7366929,0.6186231,0.7329837,0.5879104
simple,easy,A,9.4,1.62,2.07,1,0.96,1,1.51,0.55438435,0.5802246,0.52286357,0.54788196
old,fresh,A,0.87,2.72,1.97,1,0.91,1,1.64,0.15284288,0.11325049,0.12125935,0.08333777
apparent,obvious,A,8.47,1.73,2.07,1,0.89,1,1.52,0.74857646,0.6449244,0.750782,0.6120107
inexpensive,cheap,A,8.72,2.22,2.11,1,0.79,1,0.81,0.73243743,0.68172103,0.7769965,0.68502647
