word1	word2	POS	SimLex999	sim10W100S	SimLexRank	w2vRank	Spear_coef	T statistic	freedom_deg	p_value
old	new	A	1.58	0.31135973	173	183	0.53167941	19.82174378	997	5.59415E-74
smart	intelligent	A	9.2	0.36907768	979	265	0.531610246	19.81814936	997	5.88823E-74
hard	difficult	A	8.77	0.6741283	947	785	0.533738463	19.92900562	997	1.21046E-74
happy	cheerful	A	9.55	0.43392888	990.5	352	0.530652192	19.76841666	997	1.19583E-73
hard	easy	A	0.95	0.71989405	102	849	0.531751294	19.82548012	997	5.30399E-74
fast	rapid	A	8.75	0.41997513	944.5	329	0.535865365	20.04032243	997	2.46276E-75
happy	glad	A	9.17	0.5533938	973	559	0.537052705	20.10269727	997	1.00745E-75
short	long	A	1.23	0.6195175	144	689	0.535796709	20.03672081	997	2.59311E-75
stupid	dumb	A	9.58	0.54043233	988	537	0.538064702	20.15599323	997	4.68957E-76
weird	strange	A	8.93	0.4966617	957	450	0.53704434	20.10225722	997	1.01383E-75
wide	narrow	A	1.03	0.52642536	114.5	509	0.536905649	20.09496282	997	1.12561E-75
bad	awful	A	8.42	0.3431054	917	224	0.538200623	20.16316074	997	4.231E-76
easy	difficult	A	0.58	0.8358382	58	962	0.540608791	20.29051905	997	6.78059E-77
bad	terrible	A	7.78	0.59081966	859.5	625	0.546798165	20.62110689	997	5.72413E-79
hard	simple	A	1.38	0.49391174	154	441	0.545010536	20.52513793	997	2.29641E-78
smart	dumb	A	0.55	0.3983382	53	304	0.545737737	20.56412951	997	1.30633E-78
insane	crazy	A	9.57	0.43584806	980	352	0.546216605	20.58984185	997	9.00307E-79
happy	mad	A	0.95	0.38504595	99.5	283	0.547392539	20.65310481	997	3.59994E-79
large	huge	A	9.47	0.6988557	975.5	807	0.54765218	20.66709648	997	2.93889E-79
hard	tough	A	8.05	0.62328327	877.5	690	0.544167487	20.48001722	997	4.40885E-78
new	fresh	A	6.83	0.09676188	750	48	0.541818815	20.35477775	997	2.68708E-77
sharp	dull	A	0.6	0.48073858	60.5	410	0.545220844	20.5364076	997	1.951E-78
quick	rapid	A	9.7	0.45662913	976	375	0.546276252	20.5930466	997	8.5948E-79
dumb	foolish	A	6.67	0.64763916	733	730	0.54717659	20.64147411	997	4.26108E-79
wonderful	terrific	A	8.63	0.2447888	920	122	0.545147431	20.53247301	997	2.06526E-78
strange	odd	A	9.02	0.2594802	949.5	129	0.549200946	20.75073483	997	8.72952E-80
happy	angry	A	1.28	0.49948442	143	442	0.553486487	20.98377195	997	2.93581E-81
narrow	broad	A	1.18	0.6186231	132.5	670	0.554293454	21.02791989	997	1.54139E-81
simple	easy	A	9.4	0.5802246	966	593	0.556668918	21.15837619	997	2.28957E-82
old	fresh	A	0.87	0.11325049	88.5	52	0.555071056	21.07054227	997	8.27087E-82
apparent	obvious	A	8.47	0.6449244	906.5	719	0.554737576	21.0522536	997	1.0804E-81
inexpensive	cheap	A	8.72	0.68172103	921.5	775	0.552057172	20.9057852	997	9.15102E-81
nice	generous	A	5	0.24954525	540.5	121	0.548863993	20.73251233	997	1.13742E-79
weird	normal	A	0.72	-0.06181418	77	8	0.55012539	20.80080352	997	4.21692E-80
weird	odd	A	9.2	0.15989695	952.5	72	0.549703238	20.77792582	997	5.88056E-80
bad	immoral	A	7.62	0.48110324	826	405	0.555118181	21.07312784	997	7.96423E-82
sad	funny	A	0.95	0.6684304	96	750	0.555185244	21.07680792	997	7.54727E-82
wonderful	great	A	8.05	0.31623322	867	178	0.558761737	21.27393296	997	4.21286E-83
guilty	ashamed	A	6.38	0.2124725	699.5	102	0.561793609	21.44239042	997	3.54969E-84
beautiful	wonderful	A	6.5	0.6120274	711	648	0.564411871	21.58888187	997	4.10573E-85
confident	sure	A	8.27	0.49410227	886.5	428	0.562748712	21.49571845	997	1.61968E-84
dumb	dense	A	7.27	-0.053511716	785.5	8	0.56280272	21.49873773	997	1.54927E-84
large	big	A	9.55	0.42746866	955	328	0.567538384	21.76506375	997	3.04582E-86
nice	cruel	A	0.67	0.25316274	65	120	0.569255904	21.86243696	997	7.21036E-87
impatient	anxious	A	6.03	0.4846298	664	406	0.569031592	21.84969586	997	8.70743E-87
big	broad	A	6.73	0.32982686	727.5	195	0.568785886	21.83574782	997	1.07045E-86
strong	proud	A	3.17	0.16623336	327	76	0.57068043	21.94352026	997	2.16846E-87
unnecessary	necessary	A	0.63	0.67884415	62	753	0.571150999	21.97036923	997	1.4562E-87
restless	young	A	1.6	0.38384828	163	268	0.575305601	22.20882114	997	4.20943E-89
dumb	intelligent	A	0.75	0.14687887	76	66	0.57540865	22.21476797	997	3.85275E-89
bad	great	A	0.35	0.35851097	12	238	0.575080964	22.19586305	997	5.10506E-89
difficult	simple	A	0.87	0.48086149	83	393	0.575400373	22.21429027	997	3.88025E-89
necessary	important	A	7.37	0.4132075	788	301	0.576311032	22.26691119	997	1.77198E-89
bad	terrific	A	0.65	0.23232554	62	106	0.577437958	22.33220075	997	6.69475E-90
mad	glad	A	1.45	0.42711127	147	319	0.577178632	22.31715956	997	8.37831E-90
honest	guilty	A	1.18	0.33800662	123	201	0.577473653	22.33427192	997	6.49109E-90
easy	tough	A	0.52	0.4417296	50	336	0.577457252	22.33332023	997	6.58389E-90
easy	flexible	A	4.1	0.53991145	426	498	0.578200917	22.37651216	997	3.45623E-90
certain	sure	A	8.42	0.17603971	880.5	81	0.57788111	22.35792759	997	4.5609E-90
essential	necessary	A	8.97	0.6666343	915.5	727	0.582803031	22.64568033	997	6.17273E-92
different	normal	A	1.08	0.41258428	108	297	0.580035612	22.48343003	997	6.99885E-91
sly	clever	A	7.25	0.37448123	767	252	0.580368769	22.50290009	997	5.2313E-91
crucial	important	A	8.82	0.6221236	904	648	0.581972286	22.59685038	997	1.28264E-91
harsh	cruel	A	8.18	0.4962702	861	413	0.579886544	22.47472383	997	7.97158E-91
